# Logfile created on 2019-04-02 18:19:56 +0300 by logger.rb/66358
I, [2019-04-02T18:19:56.071445 #37836]  INFO -- : (0.001680s) PRAGMA foreign_keys = 1
I, [2019-04-02T18:19:56.071540 #37836]  INFO -- : (0.000037s) PRAGMA case_sensitive_like = 1
I, [2019-04-02T18:20:27.883679 #38105]  INFO -- : (0.000302s) PRAGMA foreign_keys = 1
I, [2019-04-02T18:20:27.883792 #38105]  INFO -- : (0.000018s) PRAGMA case_sensitive_like = 1
I, [2019-04-02T18:21:11.051787 #38284]  INFO -- : (0.000213s) PRAGMA foreign_keys = 1
I, [2019-04-02T18:21:11.051879 #38284]  INFO -- : (0.000015s) PRAGMA case_sensitive_like = 1
I, [2019-04-02T18:21:33.788613 #38284]  INFO -- : (0.000488s) SELECT sqlite_version()
E, [2019-04-02T18:21:33.789610 #38284] ERROR -- : SQLite3::SQLException: no such table: tasks: INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'Which gems of two have more ''classes''?', NULL, NULL, 'mutations', 'reform', '2019-04-02 18:21:33.768681', 607)
I, [2019-04-02T18:22:11.333147 #38284]  INFO -- : (0.001131s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'Which gems of two have more ''classes''?', NULL, NULL, 'activerecord-import', 'minitest-server', '2019-04-02 18:22:11.323824', 607)
I, [2019-04-02T18:22:11.402149 #38284]  INFO -- : (0.003035s) UPDATE `tasks` SET `title` = 'Which gems of two have more ''classes''?', `answer` = NULL, `our` = 'minitest-server', `left` = 'activerecord-import', `right` = 'minitest-server', `timestamp` = '2019-04-02 18:22:11.323824', `session_id` = 607 WHERE (`id` = 1)
I, [2019-04-02T18:22:11.403937 #38284]  INFO -- : (0.001618s) SELECT * FROM `tasks` WHERE (`id` = 1) LIMIT 1
I, [2019-04-02T18:22:11.696515 #38284]  INFO -- : (0.006335s) UPDATE `tasks` SET `title` = 'Which gems of two have more ''classes''?', `answer` = 'activerecord-import', `our` = 'minitest-server', `left` = 'activerecord-import', `right` = 'minitest-server', `timestamp` = '2019-04-02 18:22:11.323824', `session_id` = 607 WHERE (`id` = 1)
I, [2019-04-02T18:22:11.696898 #38284]  INFO -- : (0.000213s) SELECT * FROM `tasks` WHERE (`id` = 1) LIMIT 1
I, [2019-04-02T18:22:13.874424 #38284]  INFO -- : (0.006950s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'Which gems of two have more ''classes''?', NULL, NULL, 'bxslider-rails', 'splunk-sdk-ruby', '2019-04-02 18:22:13.859459', 607)
I, [2019-04-02T18:22:13.940967 #38284]  INFO -- : (0.002471s) UPDATE `tasks` SET `title` = 'Which gems of two have more ''classes''?', `answer` = NULL, `our` = 'splunk-sdk-ruby', `left` = 'bxslider-rails', `right` = 'splunk-sdk-ruby', `timestamp` = '2019-04-02 18:22:13.859459', `session_id` = 607 WHERE (`id` = 2)
I, [2019-04-02T18:22:13.941262 #38284]  INFO -- : (0.000169s) SELECT * FROM `tasks` WHERE (`id` = 2) LIMIT 1
I, [2019-04-02T18:22:14.227393 #38284]  INFO -- : (0.006648s) UPDATE `tasks` SET `title` = 'Which gems of two have more ''classes''?', `answer` = 'splunk-sdk-ruby', `our` = 'splunk-sdk-ruby', `left` = 'bxslider-rails', `right` = 'splunk-sdk-ruby', `timestamp` = '2019-04-02 18:22:13.859459', `session_id` = 607 WHERE (`id` = 2)
I, [2019-04-02T18:22:14.227839 #38284]  INFO -- : (0.000247s) SELECT * FROM `tasks` WHERE (`id` = 2) LIMIT 1
I, [2019-04-02T18:22:16.409351 #38284]  INFO -- : (0.007282s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'Which gems of two have more ''classes''?', NULL, NULL, 'vagrantup', 'fb', '2019-04-02 18:22:16.394190', 607)
I, [2019-04-02T18:22:16.483842 #38284]  INFO -- : (0.002583s) UPDATE `tasks` SET `title` = 'Which gems of two have more ''classes''?', `answer` = NULL, `our` = 'vagrantup', `left` = 'vagrantup', `right` = 'fb', `timestamp` = '2019-04-02 18:22:16.394190', `session_id` = 607 WHERE (`id` = 3)
I, [2019-04-02T18:22:16.484170 #38284]  INFO -- : (0.000187s) SELECT * FROM `tasks` WHERE (`id` = 3) LIMIT 1
I, [2019-04-02T18:22:16.767178 #38284]  INFO -- : (0.007308s) UPDATE `tasks` SET `title` = 'Which gems of two have more ''classes''?', `answer` = 'vagrantup', `our` = 'vagrantup', `left` = 'vagrantup', `right` = 'fb', `timestamp` = '2019-04-02 18:22:16.394190', `session_id` = 607 WHERE (`id` = 3)
I, [2019-04-02T18:22:16.768112 #38284]  INFO -- : (0.000427s) SELECT * FROM `tasks` WHERE (`id` = 3) LIMIT 1
I, [2019-04-02T18:22:18.941402 #38284]  INFO -- : (0.000750s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'Which gems of two have more ''modules''?', NULL, NULL, 'puppet-lint-world_writable_files-check', 'aws-sdk-apigatewayv2', '2019-04-02 18:22:18.933265', 607)
I, [2019-04-02T18:22:19.006542 #38284]  INFO -- : (0.002360s) UPDATE `tasks` SET `title` = 'Which gems of two have more ''modules''?', `answer` = NULL, `our` = 'aws-sdk-apigatewayv2', `left` = 'puppet-lint-world_writable_files-check', `right` = 'aws-sdk-apigatewayv2', `timestamp` = '2019-04-02 18:22:18.933265', `session_id` = 607 WHERE (`id` = 4)
I, [2019-04-02T18:22:19.006829 #38284]  INFO -- : (0.000168s) SELECT * FROM `tasks` WHERE (`id` = 4) LIMIT 1
I, [2019-04-02T18:22:19.288821 #38284]  INFO -- : (0.006807s) UPDATE `tasks` SET `title` = 'Which gems of two have more ''modules''?', `answer` = 'aws-sdk-apigatewayv2', `our` = 'aws-sdk-apigatewayv2', `left` = 'puppet-lint-world_writable_files-check', `right` = 'aws-sdk-apigatewayv2', `timestamp` = '2019-04-02 18:22:18.933265', `session_id` = 607 WHERE (`id` = 4)
I, [2019-04-02T18:22:19.289259 #38284]  INFO -- : (0.000236s) SELECT * FROM `tasks` WHERE (`id` = 4) LIMIT 1
I, [2019-04-02T18:22:21.472173 #38284]  INFO -- : (0.006537s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, do more ''variables''?', NULL, NULL, 'saxerator', 'earthquake', '2019-04-02 18:22:21.457748', 607)
I, [2019-04-02T18:22:21.539721 #38284]  INFO -- : (0.002306s) UPDATE `tasks` SET `title` = 'In which gems of two, do more ''variables''?', `answer` = NULL, `our` = 'earthquake', `left` = 'saxerator', `right` = 'earthquake', `timestamp` = '2019-04-02 18:22:21.457748', `session_id` = 607 WHERE (`id` = 5)
I, [2019-04-02T18:22:21.540059 #38284]  INFO -- : (0.000186s) SELECT * FROM `tasks` WHERE (`id` = 5) LIMIT 1
I, [2019-04-02T18:22:21.818272 #38284]  INFO -- : (0.004793s) UPDATE `tasks` SET `title` = 'In which gems of two, do more ''variables''?', `answer` = 'earthquake', `our` = 'earthquake', `left` = 'saxerator', `right` = 'earthquake', `timestamp` = '2019-04-02 18:22:21.457748', `session_id` = 607 WHERE (`id` = 5)
I, [2019-04-02T18:22:21.818632 #38284]  INFO -- : (0.000209s) SELECT * FROM `tasks` WHERE (`id` = 5) LIMIT 1
I, [2019-04-02T18:22:23.993466 #38284]  INFO -- : (0.006430s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, do more ''variables''?', NULL, NULL, 'jls-lumberjack', 'headless', '2019-04-02 18:22:23.979363', 607)
I, [2019-04-02T18:22:24.059169 #38284]  INFO -- : (0.002286s) UPDATE `tasks` SET `title` = 'In which gems of two, do more ''variables''?', `answer` = NULL, `our` = 'jls-lumberjack', `left` = 'jls-lumberjack', `right` = 'headless', `timestamp` = '2019-04-02 18:22:23.979363', `session_id` = 607 WHERE (`id` = 6)
I, [2019-04-02T18:22:24.059513 #38284]  INFO -- : (0.000187s) SELECT * FROM `tasks` WHERE (`id` = 6) LIMIT 1
I, [2019-04-02T18:22:24.338269 #38284]  INFO -- : (0.007332s) UPDATE `tasks` SET `title` = 'In which gems of two, do more ''variables''?', `answer` = 'jls-lumberjack', `our` = 'jls-lumberjack', `left` = 'jls-lumberjack', `right` = 'headless', `timestamp` = '2019-04-02 18:22:23.979363', `session_id` = 607 WHERE (`id` = 6)
I, [2019-04-02T18:22:24.338935 #38284]  INFO -- : (0.000330s) SELECT * FROM `tasks` WHERE (`id` = 6) LIMIT 1
I, [2019-04-02T18:22:26.515768 #38284]  INFO -- : (0.006558s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, do more ''variables''?', NULL, NULL, 'location-one', 'call-me', '2019-04-02 18:22:26.501682', 607)
I, [2019-04-02T18:22:26.585973 #38284]  INFO -- : (0.002790s) UPDATE `tasks` SET `title` = 'In which gems of two, do more ''variables''?', `answer` = NULL, `our` = 'call-me', `left` = 'location-one', `right` = 'call-me', `timestamp` = '2019-04-02 18:22:26.501682', `session_id` = 607 WHERE (`id` = 7)
I, [2019-04-02T18:22:26.586311 #38284]  INFO -- : (0.000198s) SELECT * FROM `tasks` WHERE (`id` = 7) LIMIT 1
I, [2019-04-02T18:22:26.867680 #38284]  INFO -- : (0.007308s) UPDATE `tasks` SET `title` = 'In which gems of two, do more ''variables''?', `answer` = 'call-me', `our` = 'call-me', `left` = 'location-one', `right` = 'call-me', `timestamp` = '2019-04-02 18:22:26.501682', `session_id` = 607 WHERE (`id` = 7)
I, [2019-04-02T18:22:26.868348 #38284]  INFO -- : (0.000333s) SELECT * FROM `tasks` WHERE (`id` = 7) LIMIT 1
I, [2019-04-02T18:22:29.051252 #38284]  INFO -- : (0.006835s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, do more ''variables''?', NULL, NULL, 'knife-zero', 'to_xls-rails', '2019-04-02 18:22:29.033223', 607)
I, [2019-04-02T18:22:29.121929 #38284]  INFO -- : (0.002466s) UPDATE `tasks` SET `title` = 'In which gems of two, do more ''variables''?', `answer` = NULL, `our` = 'knife-zero', `left` = 'knife-zero', `right` = 'to_xls-rails', `timestamp` = '2019-04-02 18:22:29.033223', `session_id` = 607 WHERE (`id` = 8)
I, [2019-04-02T18:22:29.122229 #38284]  INFO -- : (0.000172s) SELECT * FROM `tasks` WHERE (`id` = 8) LIMIT 1
I, [2019-04-02T18:22:29.409700 #38284]  INFO -- : (0.007126s) UPDATE `tasks` SET `title` = 'In which gems of two, do more ''variables''?', `answer` = 'knife-zero', `our` = 'knife-zero', `left` = 'knife-zero', `right` = 'to_xls-rails', `timestamp` = '2019-04-02 18:22:29.033223', `session_id` = 607 WHERE (`id` = 8)
I, [2019-04-02T18:22:29.410316 #38284]  INFO -- : (0.000309s) SELECT * FROM `tasks` WHERE (`id` = 8) LIMIT 1
I, [2019-04-02T18:22:31.587246 #38284]  INFO -- : (0.007314s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, do more ''variables''?', NULL, NULL, 'sinatra-twitter-bootstrap', 'glebtv_mongoid_userstamp', '2019-04-02 18:22:31.572175', 607)
I, [2019-04-02T18:22:31.656264 #38284]  INFO -- : (0.002365s) UPDATE `tasks` SET `title` = 'In which gems of two, do more ''variables''?', `answer` = NULL, `our` = 'sinatra-twitter-bootstrap', `left` = 'sinatra-twitter-bootstrap', `right` = 'glebtv_mongoid_userstamp', `timestamp` = '2019-04-02 18:22:31.572175', `session_id` = 607 WHERE (`id` = 9)
I, [2019-04-02T18:22:31.656567 #38284]  INFO -- : (0.000177s) SELECT * FROM `tasks` WHERE (`id` = 9) LIMIT 1
I, [2019-04-02T18:22:31.935750 #38284]  INFO -- : (0.007249s) UPDATE `tasks` SET `title` = 'In which gems of two, do more ''variables''?', `answer` = 'sinatra-twitter-bootstrap', `our` = 'sinatra-twitter-bootstrap', `left` = 'sinatra-twitter-bootstrap', `right` = 'glebtv_mongoid_userstamp', `timestamp` = '2019-04-02 18:22:31.572175', `session_id` = 607 WHERE (`id` = 9)
I, [2019-04-02T18:22:31.936424 #38284]  INFO -- : (0.000336s) SELECT * FROM `tasks` WHERE (`id` = 9) LIMIT 1
I, [2019-04-02T18:22:34.105661 #38284]  INFO -- : (0.000843s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''body'' occur more frequently in the ''classes''?', NULL, NULL, 'test-unit-capybara', 'sensu-plugins-vmstats', '2019-04-02 18:22:34.095383', 607)
I, [2019-04-02T18:22:34.166641 #38284]  INFO -- : (0.000825s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''body'' occur more frequently in the ''classes''?', `answer` = NULL, `our` = 'test-unit-capybara', `left` = 'test-unit-capybara', `right` = 'sensu-plugins-vmstats', `timestamp` = '2019-04-02 18:22:34.095383', `session_id` = 607 WHERE (`id` = 10)
I, [2019-04-02T18:22:34.166944 #38284]  INFO -- : (0.000173s) SELECT * FROM `tasks` WHERE (`id` = 10) LIMIT 1
I, [2019-04-02T18:22:34.450345 #38284]  INFO -- : (0.006300s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''body'' occur more frequently in the ''classes''?', `answer` = 'test-unit-capybara', `our` = 'test-unit-capybara', `left` = 'test-unit-capybara', `right` = 'sensu-plugins-vmstats', `timestamp` = '2019-04-02 18:22:34.095383', `session_id` = 607 WHERE (`id` = 10)
I, [2019-04-02T18:22:34.450738 #38284]  INFO -- : (0.000215s) SELECT * FROM `tasks` WHERE (`id` = 10) LIMIT 1
I, [2019-04-02T18:22:36.621081 #38284]  INFO -- : (0.002498s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''test'' occur more frequently in the ''classes''?', NULL, NULL, 'order_as_specified', 'knife-block', '2019-04-02 18:22:36.607058', 607)
I, [2019-04-02T18:22:36.678733 #38284]  INFO -- : (0.002612s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''test'' occur more frequently in the ''classes''?', `answer` = NULL, `our` = 'order_as_specified', `left` = 'order_as_specified', `right` = 'knife-block', `timestamp` = '2019-04-02 18:22:36.607058', `session_id` = 607 WHERE (`id` = 11)
I, [2019-04-02T18:22:36.679036 #38284]  INFO -- : (0.000176s) SELECT * FROM `tasks` WHERE (`id` = 11) LIMIT 1
